2026-08-06 17:46:42,831 | INFO | Trainer initialized.
2026-08-06 17:46:42,832 | INFO | Trainer validated.
2026-08-06 17:46:42,832 | INFO | Starting training...
2026-08-06 17:54:13,004 | INFO | Trainer initialized.
2026-08-06 17:54:13,005 | INFO | Trainer validated.
2026-08-06 17:54:13,006 | INFO | Starting training...
2026-08-06 18:04:43,854 | INFO | Training completed in 0:10:30.848182.
2026-08-06 18:04:43,856 | INFO | Training history saved.
2026-08-06 18:04:43,924 | INFO | Model saved successfully: C:\Users\Lenovo\Desktop\VisionInspectIA\ai\saved_models\cnn\best_model.keras
2026-08-06 18:04:43,924 | INFO | Evaluating model...
2026-08-06 18:04:44,176 | INFO | Metrics exported.
2026-08-06 18:04:44,177 | INFO | Training pipeline completed.
2026-08-07 20:59:47,731 | INFO | Trainer initialized.
2026-08-07 20:59:47,731 | INFO | Trainer validated.
2026-08-07 20:59:47,736 | INFO | Starting training...
2026-08-07 21:04:29,953 | INFO | Training completed in 0:04:42.210239.
2026-08-07 21:04:29,973 | INFO | Training history saved.
2026-08-07 21:04:30,118 | INFO | Model saved successfully: C:\Users\Lenovo\Desktop\VisionInspectIA\ai\saved_models\cnn\best_model.keras
2026-08-07 21:04:30,119 | INFO | Evaluating model...
2026-08-07 21:04:31,354 | INFO | Model evaluation completed.
2026-08-07 21:04:31,356 | INFO | Metrics exported.
2026-08-07 21:04:34,146 | INFO | Confusion matrix computed and saved.
2026-08-07 21:04:35,470 | INFO | Classification report saved.
2026-08-07 21:04:37,178 | INFO | Training curves saved.
2026-08-07 21:25:17,755 | INFO | Trainer initialized.
2026-08-07 21:25:17,756 | INFO | Trainer validated.
2026-08-07 21:25:17,763 | INFO | Starting training...
2026-08-07 21:30:25,887 | INFO | Training completed in 0:05:08.118094.
2026-08-07 21:30:25,906 | INFO | Training history saved.
2026-08-07 21:30:26,072 | INFO | Model saved successfully: C:\Users\Lenovo\Desktop\VisionInspectIA\ai\saved_models\cnn\best_model.keras
2026-08-07 21:30:26,072 | INFO | Evaluating model...
2026-08-07 21:30:27,499 | INFO | Model evaluation completed.
2026-08-07 21:30:27,501 | INFO | Metrics exported.
2026-08-07 21:30:30,119 | INFO | Confusion matrix computed and saved.
2026-08-07 21:30:31,447 | INFO | Classification report saved.
2026-08-07 21:30:32,889 | INFO | Training curves saved.
2026-08-07 21:30:32,893 | INFO | Training report generated.
2026-08-07 21:30:32,893 | INFO | Training pipeline completed.
2026-08-07 21:32:06,290 | INFO | Trainer initialized.
2026-08-07 21:32:06,290 | INFO | Trainer validated.
2026-08-07 21:32:06,298 | INFO | Starting training...
2026-08-07 21:36:21,424 | INFO | Training completed in 0:04:15.120833.
2026-08-07 21:36:21,449 | INFO | Training history saved.
2026-08-07 21:36:21,590 | INFO | Model saved successfully: C:\Users\Lenovo\Desktop\VisionInspectIA\ai\saved_models\cnn\best_model.keras
2026-08-07 21:36:21,591 | INFO | Evaluating model...
2026-08-07 21:36:22,841 | INFO | Model evaluation completed.
2026-08-07 21:36:22,843 | INFO | Metrics exported.
2026-08-07 21:36:25,244 | INFO | Confusion matrix computed and saved.
2026-08-07 21:36:26,745 | INFO | Classification report saved.
2026-08-07 21:36:30,702 | INFO | Training curves saved.
2026-08-07 21:36:30,890 | INFO | Training report generated.
2026-08-07 21:36:30,892 | INFO | Training pipeline completed.
2026-08-07 21:55:33,517 | INFO | Trainer initialized.
2026-08-07 21:55:33,517 | INFO | Trainer validated.
2026-08-07 21:55:33,536 | INFO | Starting training...
2026-08-07 22:06:52,637 | INFO | Trainer initialized.
2026-08-07 22:06:52,637 | INFO | Trainer validated.
2026-08-07 22:06:52,649 | INFO | Starting training...
2026-08-07 22:11:37,442 | INFO | Trainer initialized.
2026-08-07 22:11:37,443 | INFO | Trainer validated.
2026-08-07 22:11:37,460 | INFO | Starting training...
2026-08-08 00:34:59,278 | INFO | Trainer initialized.
2026-08-08 00:34:59,279 | INFO | Trainer validated.
2026-08-08 00:34:59,293 | INFO | Starting training...
2026-08-08 00:47:11,361 | INFO | Trainer initialized.
2026-08-08 00:47:11,361 | INFO | Trainer validated.
2026-08-08 00:47:11,385 | INFO | Starting training...
2026-08-08 00:50:23,151 | INFO | Trainer initialized.
2026-08-08 00:50:23,151 | INFO | Trainer validated.
2026-08-08 00:50:23,163 | INFO | Starting training...
2026-08-08 00:50:57,962 | INFO | Training completed in 0:15:58.616705.
2026-08-08 00:50:58,088 | INFO | Training history saved.
2026-08-08 00:50:58,910 | INFO | Model saved successfully: C:\Users\Lenovo\Desktop\VisionInspectIA\ai\saved_models\improved_cnn\best_model.keras
2026-08-08 00:50:58,910 | INFO | Evaluating model...
2026-08-08 00:51:01,249 | INFO | Model evaluation completed.
2026-08-08 00:51:01,255 | INFO | Metrics exported.
2026-08-08 00:51:11,066 | INFO | Confusion matrix computed and saved.
2026-08-08 00:51:13,010 | INFO | Classification report saved.
2026-08-08 00:51:19,589 | INFO | Training curves saved.
2026-08-08 00:51:19,608 | INFO | Training report generated.
2026-08-08 00:51:19,616 | INFO | Training pipeline completed.
2026-08-08 00:52:25,756 | INFO | Training completed in 0:02:02.591225.
2026-08-08 00:52:25,765 | INFO | Training history saved.
2026-08-08 00:52:25,977 | INFO | Model saved successfully: C:\Users\Lenovo\Desktop\VisionInspectIA\ai\saved_models\improved_cnn\best_model.keras
2026-08-08 00:52:25,978 | INFO | Evaluating model...
2026-08-08 00:52:26,446 | INFO | Model evaluation completed.
2026-08-08 00:52:26,448 | INFO | Metrics exported.
2026-08-08 00:52:27,819 | INFO | Confusion matrix computed and saved.
2026-08-08 00:54:43,375 | INFO | Trainer initialized.
2026-08-08 00:54:43,375 | INFO | Trainer validated.
2026-08-08 00:54:43,388 | INFO | Starting training...
2026-08-08 00:57:43,338 | INFO | Training completed in 0:02:59.947741.
2026-08-08 00:57:43,342 | INFO | Training history saved.
2026-08-08 00:57:43,514 | INFO | Model saved successfully: C:\Users\Lenovo\Desktop\VisionInspectIA\ai\saved_models\improved_cnn\best_model.keras
2026-08-08 00:57:43,514 | INFO | Evaluating model...
2026-08-08 00:57:43,878 | INFO | Model evaluation completed.
2026-08-08 00:57:43,879 | INFO | Metrics exported.
2026-08-08 00:57:44,686 | INFO | Confusion matrix computed and saved.
2026-08-08 00:57:45,122 | INFO | Classification report saved.
2026-08-08 00:57:46,142 | INFO | Training curves saved.
2026-08-08 00:57:46,144 | INFO | Training report generated.
2026-08-08 00:57:46,144 | INFO | Training pipeline completed.
2026-08-08 00:59:25,109 | INFO | Trainer initialized.
2026-08-08 00:59:25,109 | INFO | Trainer validated.
2026-08-08 00:59:25,121 | INFO | Starting training...
2026-08-08 00:59:25,131 | INFO | Class weights: {0: 3.642857142857143, 1: 3.4, 2: 3.4, 3: 0.31875}
2026-08-08 01:02:17,708 | INFO | Training completed in 0:02:52.586360.
2026-08-08 01:02:17,709 | INFO | Training history saved.
2026-08-08 01:02:17,915 | INFO | Model saved successfully: C:\Users\Lenovo\Desktop\VisionInspectIA\ai\saved_models\improved_cnn\best_model.keras
2026-08-08 01:02:17,915 | INFO | Evaluating model...
2026-08-08 01:02:18,319 | INFO | Model evaluation completed.
2026-08-08 01:02:18,320 | INFO | Metrics exported.
2026-08-08 01:02:19,161 | INFO | Confusion matrix computed and saved.
2026-08-08 01:02:19,613 | INFO | Classification report saved.
2026-08-08 01:02:20,436 | INFO | Training curves saved.
2026-08-08 01:02:20,438 | INFO | Training report generated.
2026-08-08 01:02:20,438 | INFO | Training pipeline completed.
2026-08-08 01:03:09,570 | INFO | Trainer initialized.
2026-08-08 01:03:09,570 | INFO | Trainer validated.
2026-08-08 01:03:09,583 | INFO | Starting training...
2026-08-08 01:03:09,597 | INFO | Class weights: {0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0}
2026-08-08 01:47:08,474 | INFO | Trainer initialized.
2026-08-08 01:47:08,474 | INFO | Trainer validated.
2026-08-08 01:47:08,493 | INFO | Starting training...
